Customer ID,Date,Platform,Image Url,Text Content,Sentiment Score,Engagement Level,Topics of Interest,Brands Liked,Influencers Followed,Feedback on Financial Products
1,2024-05-17,TikTok,http://example.com/image219.jpg,Establish understand read detail food shoulder argue start source husband.,0.01,Low,"Fashion, Travel","Amazon, Nike","InfluencerE, InfluencerC, InfluencerD",Decision wall then.
2,2024-07-12,TikTok,http://example.com/image9.jpg,How trip learn enter east no enjoy once today human despite young.,0.34,High,"Fashion, Travel","Nike, Apple","InfluencerE, InfluencerB, InfluencerD, InfluencerC, InfluencerA",Management sense technology check civil quite.
2,2024-10-23,Instagram,http://example.com/image209.jpg,High you more wife team activity result race Mr environment.,0.37,Medium,"Travel, Sports, Technology",,"InfluencerD, InfluencerC, InfluencerA, InfluencerE, InfluencerB",Born itself law west then.
2,2024-06-23,Twitter,http://example.com/image653.jpg,Seven medical blood personal success medical current hear claim well two truth.,0.96,Low,"Travel, Entertainment, Finance","Apple, Samsung, Microsoft","InfluencerB, InfluencerA, InfluencerE, InfluencerD, InfluencerC",Food affect upon these story film.
2,2024-04-09,Twitter,http://example.com/image43.jpg,Water beat magazine attorney set she campaign little near enter their institution deep.,-0.38,Low,"Politics, Finance",Nike,"InfluencerE, InfluencerD",Sense ready require human public health.
2,2025-02-11,TikTok,http://example.com/image768.jpg,Building different full open discover detail audience piece director town teacher.,-0.69,Low,Sports,"Apple, Nike, Google","InfluencerD, InfluencerB",Method everything magazine.
2,2024-10-02,Instagram,http://example.com/image164.jpg,Office drug list imagine behind probably great in tell approach president position art.,0.57,Low,"Technology, Health","Tesla, Nike, Samsung","InfluencerC, InfluencerB",Song body court movie cell.
2,2024-05-25,Twitter,http://example.com/image25.jpg,Economic type kitchen technology nearly anything yourself structure why unit support.,0.32,Medium,"Entertainment, Health",,"InfluencerC, InfluencerD",Image loss ten total.
2,2024-05-18,TikTok,http://example.com/image340.jpg,World enter six lawyer institution whatever.,0.88,Low,"Sports, Entertainment","Apple, Samsung","InfluencerD, InfluencerC, InfluencerE, InfluencerB",Product main couple design around save.
2,2024-04-10,LinkedIn,http://example.com/image621.jpg,Arm once me system church whether bag control organization push.,0.97,Low,"Politics, Sports",,"InfluencerD, InfluencerA, InfluencerC, InfluencerE, InfluencerB",Identify walk now often.
2,2024-04-02,LinkedIn,http://example.com/image72.jpg,Information on mission various daughter respond draw.,0.9,Medium,"Finance, Travel, Technology","Amazon, Samsung, Coca-Cola, Tesla, Google","InfluencerC, InfluencerB, InfluencerA",Capital population lead upon very.
3,2024-03-22,LinkedIn,http://example.com/image694.jpg,Your you available defense enter value thing these hard citizen street region particularly.,0.5,Low,"Entertainment, Politics, Travel",,"InfluencerC, InfluencerB",Account stage federal professional voice care.
3,2024-04-30,LinkedIn,http://example.com/image805.jpg,Score choice example decision garden reach table.,0.16,High,"Travel, Politics","Tesla, Amazon, Samsung","InfluencerB, InfluencerA, InfluencerE, InfluencerC, InfluencerD",Major town suffer begin interest everybody.
3,2024-03-20,Twitter,http://example.com/image689.jpg,Pm energy scientist necessary into act away.,-0.38,Low,Technology,,InfluencerD,Nation strong old.
3,2024-05-12,TikTok,http://example.com/image871.jpg,Among half value win always group radio.,0.54,Medium,"Politics, Finance","Microsoft, Tesla, Samsung, Nike, Amazon","InfluencerA, InfluencerE, InfluencerB, InfluencerD, InfluencerC",Government nice themselves.
3,2025-03-10,TikTok,http://example.com/image476.jpg,Understand door class son computer include conference.,-0.9,Low,Travel,Samsung,"InfluencerE, InfluencerC, InfluencerB, InfluencerD, InfluencerA",Site in prove same easy.
3,2024-05-16,Twitter,http://example.com/image762.jpg,Him although likely current truth glass star.,0.72,Medium,"Politics, Health","Amazon, Microsoft, Samsung, Tesla, Nike","InfluencerD, InfluencerA",Development process huge everything.
4,2024-04-13,Twitter,http://example.com/image279.jpg,Go meeting quickly such former agree theory end oil.,-0.33,High,Sports,Tesla,"InfluencerB, InfluencerE, InfluencerA",Although others generation skill.
4,2024-08-25,LinkedIn,http://example.com/image418.jpg,Break tonight couple and job mind southern rather vote say culture issue.,-0.34,Medium,"Technology, Fashion","Microsoft, Samsung, Amazon","InfluencerA, InfluencerD, InfluencerB, InfluencerE, InfluencerC",Perhaps professional by tonight medical.
4,2024-11-18,Instagram,http://example.com/image772.jpg,I fast camera inside wait quality total past feeling nature.,-0.22,Medium,"Politics, Travel, Fashion","Microsoft, Tesla",,Fight decision size.
4,2024-10-27,LinkedIn,http://example.com/image345.jpg,Let kind degree list top somebody college be middle plan.,0.34,Medium,"Sports, Health, Politics",Apple,"InfluencerE, InfluencerA, InfluencerD",Behavior weight dog financial southern.
5,2024-05-11,LinkedIn,http://example.com/image139.jpg,Each little sure authority increase picture.,0.73,Low,Entertainment,"Google, Nike, Tesla","InfluencerC, InfluencerD",Responsibility himself hundred challenge.
5,2024-11-25,Instagram,http://example.com/image771.jpg,Sing despite sound receive let newspaper true.,0.9,Medium,"Fashion, Politics",,"InfluencerE, InfluencerA, InfluencerB, InfluencerD, InfluencerC",Lead soon property.
5,2025-03-15,Facebook,http://example.com/image773.jpg,Fish sense kind spring throughout interview trade knowledge city technology late seem style.,-0.94,Low,Technology,"Coca-Cola, Nike, Microsoft, Tesla","InfluencerA, InfluencerB, InfluencerD, InfluencerC, InfluencerE",She miss phone ever.
5,2024-04-16,Twitter,http://example.com/image621.jpg,Doctor from throw ball character him check degree increase.,0.21,High,"Fashion, Health, Travel","Nike, Amazon",,My indeed deal information toward.
5,2024-10-18,Instagram,http://example.com/image590.jpg,Task she herself accept goal send.,0.35,Medium,"Politics, Technology","Tesla, Apple, Google, Coca-Cola","InfluencerE, InfluencerA, InfluencerC, InfluencerD, InfluencerB",Mrs same son today major.
5,2024-06-26,TikTok,http://example.com/image439.jpg,Ahead from quickly identify close level camera performance agree hour north agree.,0.32,Low,"Finance, Technology, Politics","Nike, Tesla, Coca-Cola","InfluencerD, InfluencerB, InfluencerE, InfluencerA, InfluencerC",Career left anyone here deep.
5,2024-07-16,TikTok,http://example.com/image828.jpg,Everything week instead strong like see appear weight difference attention.,0.84,Medium,"Health, Travel","Amazon, Coca-Cola, Nike, Apple, Microsoft","InfluencerB, InfluencerD, InfluencerC",Senior wear current.
5,2024-03-26,TikTok,http://example.com/image685.jpg,Draw list boy way let eight hard.,-0.24,Low,"Finance, Fashion","Tesla, Coca-Cola, Microsoft","InfluencerC, InfluencerE",Parent security boy standard who blue.
5,2024-03-28,TikTok,http://example.com/image11.jpg,Office traditional heart walk cup option store drug recent.,0.03,Low,Politics,"Microsoft, Tesla, Amazon, Nike, Samsung","InfluencerD, InfluencerE, InfluencerA, InfluencerC, InfluencerB",Sure outside building worker.
5,2024-12-30,Twitter,http://example.com/image415.jpg,Mouth product attention positive actually information majority item gun through.,0.38,Medium,"Finance, Politics, Entertainment","Google, Tesla, Samsung, Amazon","InfluencerC, InfluencerD",Religious itself safe whole establish.
6,2025-01-08,Instagram,http://example.com/image258.jpg,Simple let stay or focus early various everything late seek now property.,-0.54,High,Finance,,"InfluencerE, InfluencerB, InfluencerA, InfluencerC, InfluencerD",Agreement surface consider deep something.
6,2024-07-21,Instagram,http://example.com/image742.jpg,Red everybody act way beat result major serve real position make society behavior.,0.18,High,"Entertainment, Technology, Fashion","Tesla, Coca-Cola",InfluencerC,Identify during professional hard.
6,2024-10-07,Facebook,http://example.com/image726.jpg,International second former reflect even edge building court build movie.,0.07,Medium,Technology,"Amazon, Google, Nike, Tesla",,Course school everybody operation.
6,2024-12-22,Facebook,http://example.com/image588.jpg,Executive beyond create dinner conference add move ever window network recently call than.,-0.43,Medium,"Finance, Fashion",,"InfluencerD, InfluencerA",Bill activity expect long future whole.
7,2024-06-19,LinkedIn,http://example.com/image504.jpg,Box assume man officer rather charge specific we be easy newspaper indicate.,-0.85,High,"Technology, Fashion, Health","Amazon, Apple, Nike, Microsoft","InfluencerD, InfluencerB, InfluencerC, InfluencerE",So difficult mission late kind team.
8,2025-03-16,LinkedIn,http://example.com/image305.jpg,Notice art whether between several personal enough ball dream.,0.72,Medium,"Technology, Entertainment","Nike, Microsoft, Samsung, Google, Coca-Cola","InfluencerA, InfluencerB, InfluencerE, InfluencerC, InfluencerD",Avoid able late order fact discuss.
8,2024-12-02,Twitter,http://example.com/image3.jpg,Author do enough social operation sound cup boy different chance enter.,-0.18,High,"Travel, Sports, Technology",Amazon,"InfluencerC, InfluencerD, InfluencerA, InfluencerE, InfluencerB",Author coach film.
8,2024-12-18,TikTok,http://example.com/image678.jpg,Tv keep light fight I evening music just our threat same page ago.,0.61,Low,"Fashion, Entertainment",Coca-Cola,"InfluencerB, InfluencerA",While structure offer week.
8,2025-03-19,Facebook,http://example.com/image170.jpg,Office several compare million kind everything young job sport.,0.59,High,"Entertainment, Politics, Technology","Amazon, Google, Tesla","InfluencerE, InfluencerD",Like impact fly.
8,2024-04-26,LinkedIn,http://example.com/image83.jpg,Form really explain war spend nearly lawyer fire.,0.2,Medium,"Finance, Entertainment, Sports",,,Break significant ten stay ability.
8,2025-01-31,Twitter,http://example.com/image985.jpg,Including could gun series personal service data near until just recognize.,0.35,High,"Technology, Health, Finance","Apple, Microsoft",InfluencerD,Ahead picture son.
8,2024-12-03,TikTok,http://example.com/image668.jpg,Nearly need behavior yeah tree left brother strategy marriage.,-0.12,Medium,Health,"Samsung, Apple, Tesla, Coca-Cola, Google","InfluencerC, InfluencerA",Meeting event strong woman.
9,2024-06-16,Instagram,http://example.com/image422.jpg,Certain course out second carry attorney significant take future skin environment able rise.,0.39,Medium,"Health, Travel, Entertainment",,"InfluencerA, InfluencerC, InfluencerB",Oil process tend land machine forward.
9,2024-12-23,Instagram,http://example.com/image119.jpg,Lay focus country recently occur do simply analysis seat relate.,0.94,Medium,"Technology, Finance, Entertainment","Microsoft, Apple, Nike","InfluencerC, InfluencerD, InfluencerE, InfluencerB",History professional star wonder manager.
11,2024-04-01,Instagram,http://example.com/image563.jpg,Whole forward beyond suddenly between treat address century that wide avoid sit.,-0.74,Medium,"Travel, Technology",,"InfluencerE, InfluencerB, InfluencerC, InfluencerA, InfluencerD",Full realize power system.
11,2025-01-24,TikTok,http://example.com/image15.jpg,Here first responsibility service their along attention piece TV young section its.,0.1,Low,Fashion,"Nike, Google, Samsung","InfluencerC, InfluencerE, InfluencerB",Set region beyond.
11,2024-05-18,LinkedIn,http://example.com/image484.jpg,Tough animal someone fall hear certainly most not society.,-0.51,High,Health,Coca-Cola,,Company participant him raise.
12,2024-09-17,LinkedIn,http://example.com/image349.jpg,Central leave effect effort act source top quality citizen kid generation onto police.,0.87,High,"Technology, Sports","Amazon, Microsoft, Samsung, Google, Tesla",InfluencerD,Real lead few yourself table.
12,2024-04-27,TikTok,http://example.com/image496.jpg,Occur offer yeah far within probably ever not rate seat.,-0.31,High,"Health, Politics, Sports",Tesla,"InfluencerD, InfluencerB, InfluencerE, InfluencerA",Treat seat strategy.
12,2025-02-12,Instagram,http://example.com/image763.jpg,Parent good PM per question return process stuff.,-0.05,Medium,"Sports, Politics",,InfluencerE,Best physical always small almost half capital.
12,2025-02-14,TikTok,http://example.com/image340.jpg,Section compare car much will most tree store either station.,0.74,Medium,Travel,,"InfluencerB, InfluencerD, InfluencerC, InfluencerA, InfluencerE",Whose far that sound life away.
13,2024-12-20,Instagram,http://example.com/image347.jpg,Team right woman whose source hand so add.,0.25,Medium,"Fashion, Health, Sports","Microsoft, Coca-Cola, Google, Tesla, Apple","InfluencerA, InfluencerB, InfluencerC, InfluencerD",Buy happy see energy herself police.
13,2024-08-01,Twitter,http://example.com/image765.jpg,Likely people wall foreign particular positive play less.,-0.82,Low,"Fashion, Politics, Travel","Amazon, Apple, Microsoft, Coca-Cola, Google","InfluencerC, InfluencerE",Power bring animal also.
13,2025-03-18,LinkedIn,http://example.com/image150.jpg,Best thought career law provide sea watch.,-0.51,Medium,"Sports, Fashion, Health",,"InfluencerD, InfluencerB, InfluencerE, InfluencerA",Onto risk those pressure street.
13,2024-10-30,Twitter,http://example.com/image473.jpg,Allow have kitchen wear talk between rate name within.,0.28,Medium,"Technology, Health","Amazon, Google, Samsung",InfluencerA,Art every why we station.
13,2024-04-21,LinkedIn,http://example.com/image968.jpg,Politics others again skill during call north attention.,-0.31,High,"Health, Finance","Samsung, Microsoft","InfluencerB, InfluencerD",Debate democratic thank forget challenge too.
13,2024-03-20,LinkedIn,http://example.com/image110.jpg,Would music sometimes body term capital group.,-0.53,High,"Entertainment, Finance","Apple, Microsoft","InfluencerD, InfluencerC, InfluencerA, InfluencerE, InfluencerB",Open administration enter camera.
13,2024-08-20,Instagram,http://example.com/image795.jpg,Second live sing message board mean war.,0.6,High,"Politics, Finance",Amazon,"InfluencerB, InfluencerA, InfluencerC, InfluencerD, InfluencerE",Road training probably.
14,2024-07-07,Facebook,http://example.com/image594.jpg,Article look husband rather make travel.,-0.27,Low,Entertainment,"Microsoft, Nike",InfluencerB,Tonight focus chance.
14,2024-05-04,TikTok,http://example.com/image898.jpg,Plan nature foot yes most law painting between reduce table prepare shoulder result.,0.94,High,"Entertainment, Health, Fashion","Samsung, Microsoft","InfluencerC, InfluencerA",Involve thousand including still.
14,2024-08-11,LinkedIn,http://example.com/image987.jpg,Fine fine effort well rather listen before.,-0.85,Low,"Health, Travel, Entertainment","Nike, Microsoft","InfluencerA, InfluencerC, InfluencerD",Behavior benefit school.
14,2025-01-10,Facebook,http://example.com/image466.jpg,Art what no prove improve them wait institution trouble anything explain fine billion.,-0.26,High,"Entertainment, Travel, Politics","Google, Apple, Samsung, Nike, Tesla",,Defense prevent difference board suddenly happen.
14,2024-12-23,TikTok,http://example.com/image906.jpg,Difficult investment night should perform push news participant price really ahead event several.,0.89,Medium,"Politics, Finance, Technology","Samsung, Google, Coca-Cola, Tesla, Apple",InfluencerA,Go consider century price attorney.
14,2024-12-15,Facebook,http://example.com/image312.jpg,Begin most heavy law church find.,0.99,Low,Politics,"Coca-Cola, Tesla, Microsoft, Samsung","InfluencerE, InfluencerD, InfluencerC, InfluencerA, InfluencerB",Since nothing be apply church.
14,2024-10-31,Facebook,http://example.com/image854.jpg,Evening product magazine kind event sense box.,-0.02,Medium,"Technology, Finance","Tesla, Samsung","InfluencerB, InfluencerC, InfluencerA",Book question or money final.
15,2024-06-07,Instagram,http://example.com/image558.jpg,Area daughter war should share face build market issue can mouth discover next.,0.8,High,"Technology, Politics","Tesla, Apple","InfluencerA, InfluencerB, InfluencerC",Author technology amount affect TV.
15,2025-01-28,TikTok,http://example.com/image995.jpg,Investment identify policy face if whom commercial way least ready gun join black.,-0.96,Medium,Sports,"Tesla, Apple, Amazon, Nike","InfluencerB, InfluencerE, InfluencerD, InfluencerA",Open model how financial fund.
15,2024-07-18,TikTok,http://example.com/image3.jpg,Baby plan most create simply go when population.,-0.45,Low,Entertainment,Nike,"InfluencerA, InfluencerB, InfluencerE, InfluencerD, InfluencerC",Door chair culture.
15,2024-10-25,TikTok,http://example.com/image332.jpg,Concern significant management senior service large.,-0.97,Medium,Sports,"Microsoft, Amazon, Apple, Google, Tesla","InfluencerC, InfluencerA, InfluencerB",Poor worry follow wife firm key.
15,2024-09-06,TikTok,http://example.com/image227.jpg,Field ever argue medical financial later arm story baby ten talk past medical leg.,0.89,Low,"Entertainment, Politics, Finance",,,West school American training occur could.
15,2024-10-26,LinkedIn,http://example.com/image868.jpg,Character artist billion tonight gas research mean common easy just keep mission.,-0.2,High,Travel,"Samsung, Apple, Microsoft, Coca-Cola, Nike",,Hair truth hold simple.
15,2024-11-22,Twitter,http://example.com/image282.jpg,Smile positive at behind question exist.,0.25,High,"Finance, Politics, Entertainment","Amazon, Tesla, Samsung, Google","InfluencerA, InfluencerE, InfluencerC",Their four old center glass whose.
15,2024-11-29,TikTok,http://example.com/image739.jpg,Can remember be next poor foreign campaign reflect water young treatment.,0.73,Medium,"Politics, Travel","Samsung, Tesla","InfluencerA, InfluencerC, InfluencerB",Position interest gun.
15,2024-07-29,Instagram,http://example.com/image682.jpg,Week game she court yourself choice fast small.,-0.49,Low,"Travel, Technology, Health",,,Side strong this also from short.
15,2024-05-05,LinkedIn,http://example.com/image99.jpg,Child Congress realize person total return analysis hair rest wide.,0.49,Medium,Technology,"Google, Samsung, Apple, Tesla","InfluencerD, InfluencerA",Expect security large move finally speak.
16,2024-09-06,TikTok,http://example.com/image320.jpg,Happy water worker left example high month whom.,-0.3,High,"Politics, Fashion, Finance","Tesla, Microsoft, Apple","InfluencerE, InfluencerC",Soon catch economic political.
16,2025-02-01,Facebook,http://example.com/image781.jpg,Various represent middle by base civil last message store begin treat stage this.,-0.44,Low,"Technology, Entertainment","Amazon, Apple, Nike, Coca-Cola, Samsung","InfluencerC, InfluencerA",Increase how hear.
16,2024-08-07,Twitter,http://example.com/image891.jpg,Heart agreement us stuff practice social case.,-0.71,High,"Fashion, Travel","Apple, Samsung, Google, Amazon, Nike","InfluencerD, InfluencerE, InfluencerB",True line story serve.
16,2024-09-06,Twitter,http://example.com/image379.jpg,Accept bad eight strong nature road month book explain feeling answer information soldier.,-0.38,Medium,"Fashion, Technology, Travel",Apple,"InfluencerA, InfluencerC, InfluencerB, InfluencerD, InfluencerE",Artist student matter movie place.
17,2024-10-15,LinkedIn,http://example.com/image425.jpg,Fact ability good number cost property model.,-0.45,High,Finance,"Nike, Coca-Cola, Google","InfluencerE, InfluencerD, InfluencerC, InfluencerB, InfluencerA",Attack moment medical write never.
17,2024-08-08,Twitter,http://example.com/image405.jpg,Analysis hit health section ground attack drop price billion old series card.,0.97,Low,Politics,"Tesla, Microsoft",InfluencerC,National spend compare single let.
17,2024-11-28,Instagram,http://example.com/image336.jpg,Consider care respond want already cut social though firm financial huge spring list already.,-0.76,Medium,"Health, Fashion, Travel","Tesla, Amazon, Microsoft","InfluencerC, InfluencerA, InfluencerB, InfluencerD, InfluencerE",Experience television answer pretty.
17,2024-06-26,Facebook,http://example.com/image471.jpg,Join hundred keep what fund cost reality happen something entire.,0.84,Medium,"Health, Entertainment, Politics","Microsoft, Coca-Cola, Apple, Tesla, Google","InfluencerB, InfluencerD",Risk bad own.
17,2025-01-13,Instagram,http://example.com/image91.jpg,Family bill foreign fast knowledge response coach know language risk treatment past.,-0.13,Low,Health,"Microsoft, Amazon, Apple, Tesla","InfluencerC, InfluencerB",Ever woman way avoid point.
17,2024-07-29,Instagram,http://example.com/image798.jpg,Well central parent sit alone attack sing hand.,-0.66,High,"Fashion, Entertainment, Health",Google,"InfluencerB, InfluencerE",We allow check last he.
17,2024-08-28,Facebook,http://example.com/image150.jpg,Off morning huge power economic box.,-0.49,Low,"Sports, Health, Finance",,InfluencerD,Material hit no energy.
17,2024-06-22,LinkedIn,http://example.com/image773.jpg,Democrat partner really your customer career available common require young specific.,0.13,High,"Finance, Health","Google, Nike, Tesla, Apple, Samsung","InfluencerC, InfluencerE, InfluencerD",Property remember nearly face feel.
17,2024-05-15,Facebook,http://example.com/image361.jpg,Soldier meeting building cut catch so ago network.,0.01,Medium,"Travel, Technology",,"InfluencerC, InfluencerA",Level work candidate this assume.
18,2024-08-11,Facebook,http://example.com/image630.jpg,Moment shoulder statement available win politics last quite general there sister policy.,0.19,Medium,"Technology, Politics","Tesla, Coca-Cola, Amazon, Samsung","InfluencerB, InfluencerA, InfluencerE, InfluencerD",Should can me than.
18,2025-01-17,Instagram,http://example.com/image732.jpg,Check clearly follow remember generation wait thus suffer economy play nearly by.,-0.83,High,Technology,Samsung,"InfluencerE, InfluencerB, InfluencerD",Pass behavior political option.
18,2024-10-17,Instagram,http://example.com/image940.jpg,Probably result painting successful nor stay agreement animal.,-0.43,Medium,"Technology, Health","Google, Apple, Coca-Cola, Microsoft, Tesla","InfluencerC, InfluencerB",Enough decision occur peace air threat.
18,2024-10-04,Instagram,http://example.com/image84.jpg,Lot source rate father authority art keep machine daughter.,0.17,Low,"Entertainment, Finance","Microsoft, Nike, Amazon, Apple, Coca-Cola","InfluencerD, InfluencerC, InfluencerA, InfluencerE",Century technology floor write generation human.
18,2024-12-22,LinkedIn,http://example.com/image521.jpg,No five letter environment easy best face his past eat tend civil.,-0.28,Medium,"Sports, Fashion","Samsung, Nike",InfluencerB,Value return couple city you.
18,2024-09-05,Twitter,http://example.com/image80.jpg,Market bed hotel lead drive on any example our.,-0.41,Low,"Technology, Finance, Sports","Coca-Cola, Amazon, Tesla, Nike",InfluencerB,Experience account blue care enough hand.
18,2024-08-13,TikTok,http://example.com/image829.jpg,Hundred now crime network available mean.,0.81,High,"Technology, Politics","Tesla, Samsung","InfluencerC, InfluencerD, InfluencerA, InfluencerE",Evidence writer quite budget window hour.
18,2025-01-03,Instagram,http://example.com/image989.jpg,Newspaper hand certain own husband American although require sound mind.,0.62,Medium,Finance,"Samsung, Tesla, Coca-Cola, Microsoft, Amazon",InfluencerB,Paper middle foreign.
18,2024-10-29,TikTok,http://example.com/image142.jpg,Hotel pattern successful order medical meeting majority none.,0.75,Low,"Travel, Health, Sports","Nike, Google, Amazon, Apple","InfluencerA, InfluencerB",Staff happy purpose woman on someone.
18,2024-12-09,Instagram,http://example.com/image461.jpg,Ago listen whose situation simply officer return on color pick people subject challenge quite.,0.81,Low,"Fashion, Travel","Google, Apple, Tesla",,Occur red course.
19,2024-08-27,TikTok,http://example.com/image383.jpg,Charge real improve simple turn their save artist catch debate foot.,-0.53,Low,"Politics, Technology","Nike, Microsoft","InfluencerC, InfluencerB, InfluencerA, InfluencerE, InfluencerD",Moment finish community treatment garden great.
19,2024-12-26,LinkedIn,http://example.com/image713.jpg,Particular court east newspaper different win father eye debate.,0.66,High,"Travel, Entertainment",,,First give value somebody event business.
19,2024-11-21,Facebook,http://example.com/image263.jpg,Time house generation significant chair among western bad under pretty.,-0.57,Low,"Health, Technology, Sports",Amazon,,Degree still even no even body.
19,2024-12-15,Facebook,http://example.com/image245.jpg,Drug prove most point appear including response beyond side.,-0.16,High,"Fashion, Technology","Apple, Google, Amazon","InfluencerB, InfluencerE, InfluencerD, InfluencerC",Who within citizen.
19,2024-11-12,Facebook,http://example.com/image630.jpg,Local current white fly position traditional become off movement rich view tree.,-0.29,High,"Sports, Finance","Nike, Amazon, Coca-Cola, Apple, Microsoft","InfluencerD, InfluencerA, InfluencerC",Individual study value already.
19,2025-01-19,LinkedIn,http://example.com/image383.jpg,Control see the face also fear owner up friend lawyer political modern.,-0.49,Low,"Fashion, Sports",Nike,"InfluencerC, InfluencerB, InfluencerA, InfluencerD",Surface life cover.
20,2024-04-29,Instagram,http://example.com/image834.jpg,Room possible responsibility add front far purpose cover.,0.29,High,"Travel, Finance",Coca-Cola,,Task today still middle beautiful protect.
20,2024-05-25,LinkedIn,http://example.com/image38.jpg,Local very according himself land environment form.,-0.41,Low,Technology,"Amazon, Samsung","InfluencerE, InfluencerD, InfluencerB",Reveal activity president realize artist brother.
20,2024-07-09,Facebook,http://example.com/image772.jpg,Rather type thousand show real police wait happen determine whatever long.,0.29,Medium,"Technology, Health","Google, Coca-Cola, Apple, Microsoft, Tesla","InfluencerD, InfluencerE, InfluencerB",Security paper indeed near likely.
20,2024-10-01,Twitter,http://example.com/image509.jpg,Seven quite other skin moment month gun true.,0.38,Medium,"Entertainment, Health, Technology","Microsoft, Apple, Tesla, Amazon, Nike","InfluencerC, InfluencerE, InfluencerA, InfluencerD",Article natural measure.
20,2024-10-14,Instagram,http://example.com/image677.jpg,Clearly take kind quite response major together.,-0.41,Medium,"Health, Fashion, Finance","Google, Tesla, Apple","InfluencerC, InfluencerD, InfluencerB, InfluencerA, InfluencerE",Speak law message lead around.
20,2024-09-04,LinkedIn,http://example.com/image373.jpg,Rich how staff second official and general as yes.,0.03,High,"Sports, Technology, Fashion","Samsung, Apple, Nike, Microsoft",InfluencerC,Worry line expert.
20,2024-05-23,Instagram,http://example.com/image393.jpg,She within position inside year him thank.,0.9,Low,"Sports, Finance, Politics","Google, Tesla",,Heart radio product much president.
20,2024-07-24,TikTok,http://example.com/image141.jpg,Year hotel camera without strong series without leg.,0.06,Medium,"Entertainment, Fashion",,,Interest here discover leave choice country.
