post_id,org_id,date,platform,image_url,text_content,topics_of_interest,feedback_on_financial_services,sentiment_score,engagement_level,partners_mentioned,post_type
POST_1,ORG_1,15/08/2023,LinkedIn,https://example.com/images/techsolutions/webinar1.jpg,Join our free webinar on 'The Future of AI in Business'! Learn how to leverage AI for growth. Register now: [link],"['Industry News', 'Technology Trends', 'Artificial Intelligence']",Not Applicable,6.5,7.5,[],Promotion
POST_2,ORG_1,22/08/2023,Twitter,https://example.com/images/techsolutions/team_event.jpg,Team-building event at TechSolutions Inc.! Celebrating 12 years of innovation and growth. #Teamwork #TechSolutions,"['Company Culture', 'Team Building']",Not Applicable,9.9,8.1,[],Community
POST_3,ORG_1,05/09/2023,Facebook,https://example.com/images/techsolutions/product_launch.jpg,Announcing the launch of our new cloud security solution! Protect your business with cutting-edge technology. Learn more and request a demo: [link],"['Product Launch', 'Cloud Security', 'Technology']",Not Applicable,6.8,6.8,[],Promotion
POST_4,ORG_1,12/09/2023,LinkedIn,https://example.com/images/techsolutions/blog_post.jpg,New blog post: 'The Importance of Cybersecurity in the Modern Business Landscape.' Read the full article here: [link],"['Cybersecurity', 'Industry News', 'Technology Trends']",Not Applicable,8.7,7.2,[],Industry News
POST_5,ORG_1,28/09/2023,Twitter,https://example.com/tech/partner.png,"Excited to announce our partnership with @DataWizards! Together, we'll deliver even more powerful data analytics solutions. #partnership #datanalytics","['Partnership', 'Data Analytics']",Not Applicable,8.0,8.1,['DataWizards'],Announcement
POST_6,ORG_1,19/10/2023,Instagram,https://example.com/images/techsolutions/office_view.jpg,A glimpse of our California HQ! We're proud to be a part of the vibrant tech community here. #TechSolutions #CaliforniaTech,"['Company Culture', 'Location']",Not Applicable,10.0,7.0,[],Community
POST_7,ORG_1,26/10/2023,LinkedIn,https://example.com/images/techsolutions/financial_services.jpg,"Our continued growth is supported by strong financial partnerships. We appreciate the reliable service from our banking partners, enabling us to innovate and expand.","['Finance', 'Company Growth']",Positive,8.2,6.5,[],Financial
POST_8,ORG_1,02/11/2023,Twitter,https://example.com/images/techsolutions/conference.jpg,Attending the #TechForward2023 conference! Come visit our booth to learn about our latest solutions. #Technology #Conference,"['Industry News', 'Technology Trends']",Not Applicable,7.1,7.8,[],Industry News
POST_9,ORG_1,09/11/2023,Facebook,https://example.com/images/techsolutions/client_success.jpg,Celebrating a major client success! We helped [Client Name] achieve a 30% increase in efficiency with our solutions. #ClientSuccess #TechSolutions,"['Client Success', 'Case Study']",Not Applicable,9.4,7.3,[],Promotion
POST_10,ORG_1,16/11/2023,LinkedIn,https://example.com/images/techsolutions/hiring.jpg,We're hiring! Join our growing team of talented professionals. Check out our open positions: [link] #TechJobs #Hiring,"['Hiring', 'Careers']",Not Applicable,7.0,8.5,[],Hiring
POST_11,ORG_1,28/11/2023,Company Blog,https://example.com/finance-post.png,TechSolutions achieves 12 months of consecutive Balance Sheet Growth. Key strategies include prudent investments and exploring new financial instruments. Read Full Report at [link],"['Finance', 'Growth Strategy']",Neutral,7.0,7.0,[],Financial
POST_12,ORG_1,07/12/2023,Twitter,https://example.com/ceo.png,"Our CEO speaking at the annual technology event, sharing valuable insights. #leadership #tech","['Industry News', 'Leadership']",Not Applicable,8.8,7.1,[],Industry News
POST_13,ORG_1,15/12/2024,Instagram,https://example.com/images/techsolutions/giving_back.jpg,Giving back to the community! Our team volunteered at the local food bank this weekend. #Community #GivingBack,"['Community', 'Social Responsibility']",Not Applicable,9.9,8.0,[],Community
POST_14,ORG_1,23/12/2023,Facebook,https://example.com/celebrate.png,Celebrating another year of wins with our amazing team who strive for innovation. Thank you everyone!,"['Team Building', 'Community']",Not Applicable,6.5,8.0,[],Community
POST_15,ORG_1,05/01/2024,LinkedIn,https://example.com/newyear.png,"TechSolutions Inc. is starting the year strong, fueled by efficient financial management and the support of our banking partners. Looking forward for a good Q1.","['Finance', 'Company News']",Positive,8.0,7.2,[],Financial
POST_16,ORG_2,15/08/2023,LinkedIn,https://example.com/images/medicare/team_meeting.jpg,MediCare Providers LLC is celebrating 25 years of providing quality healthcare in Florida! We're proud of our dedicated team and commitment to our community. Here's to many more years of service! #HealthcareHeroes #25YearsOfCare,"['Community', 'Company Anniversary']",Not Applicable,8.3,8.5,[],Announcement
POST_17,ORG_2,22/08/2023,Facebook,https://example.com/images/medicare/patient_care.jpg,"At MediCare Providers LLC, patient well-being is our top priority. Learn more about our comprehensive services on our website. #PatientCare #Healthcare","['Patient Care', 'Healthcare Services']",Not Applicable,7.4,7.2,[],Promotion
POST_18,ORG_2,05/09/2023,Twitter,https://example.com/images/medicare/health_tip.jpg,Did you know regular check-ups can help detect health issues early? Schedule your appointment with MediCare Providers LLC today! #HealthTip #PreventiveCare,"['Health Tips', 'Preventive Care']",Not Applicable,6.2,6.8,[],Promotion
POST_19,ORG_2,19/09/2023,Instagram,https://example.com/images/medicare/community_event.jpg,We're proud to support the local community health fair! Thanks to everyone who stopped by our booth. #CommunityHealth #Florida,"['Community', 'Local Events']",Not Applicable,6.3,7.9,['Local Chamber of Commerce'],Community
POST_20,ORG_2,03/10/2023,LinkedIn,https://example.com/images/medicare/innovation.jpg,Staying ahead of the curve: MediCare Providers LLC is committed to embracing the latest advancements in healthcare to provide the best possible care for our patients. #HealthcareInnovation #Technology,"['Industry News', 'Technology Trends']",Not Applicable,5.5,6.5,[],Industry News
POST_21,ORG_2,17/10/2023,Company Blog,https://example.com/images/medicare/blog_post.jpg,Navigating Healthcare Costs: Our latest blog post offers tips for understanding your medical bills and managing healthcare expenses. Read more on our website!,"['Healthcare Costs', 'Patient Education']",Not Applicable,5.9,5.8,[],Promotion
POST_22,ORG_2,31/10/2023,Facebook,https://example.com/images/medicare/staff_appreciation.jpg,A big thank you to our incredible team at MediCare Providers LLC! Your dedication and hard work make all the difference. #EmployeeAppreciation #HealthcareHeroes,['Employee Appreciation'],Not Applicable,7.5,8.1,[],Community
POST_23,ORG_2,14/11/2023,Twitter,https://example.com/images/medicare/partnership.jpg,Excited to announce our partnership with Florida Health Network to expand access to quality care! #HealthcarePartnership #FloridaHealth,['Partnerships'],Not Applicable,7.6,7.6,['Florida Health Network'],Announcement
POST_24,ORG_2,28/11/2023,LinkedIn,https://example.com/images/medicare/financial_planning.jpg,"Planning for the future is crucial, both in health and finances. Our financial services have been... adequate.  We appreciate their consistent reliability.  #FinancialPlanning #HealthcareFinance",['Finance'],Neutral,6.8,5.1,[],Financial
POST_25,ORG_2,12/12/2023,Instagram,https://example.com/images/medicare/holiday_wishes.jpg,"Wishing our patients, staff, and community a happy and healthy holiday season! From all of us at MediCare Providers LLC. #HappyHolidays",['Community'],Not Applicable,6.7,7.4,[],Community
POST_26,ORG_2,26/12/2023,Facebook,https://example.com/images/medicare/new_year.jpg,Looking forward to a new year of providing exceptional healthcare services to the Florida community! #NewYear #HealthcareGoals,"['Community', 'Healthcare Services']",Not Applicable,7.5,6.9,[],Announcement
POST_27,ORG_2,09/01/2024,Twitter,https://example.com/images/medicare/telehealth.jpg,Embracing telehealth to provide convenient and accessible care to our patients. Learn more about our virtual services! #Telehealth #DigitalHealth,"['Technology Trends', 'Healthcare Services']",Not Applicable,6.5,7.0,[],Promotion
POST_28,ORG_2,23/01/2024,LinkedIn,https://www.example.com/images/medicare/hiring.jpg,MediCare Providers LLC is growing! We're looking for passionate individuals to join our team. Check out our careers page for open positions. #Hiring #HealthcareJobs,['Hiring'],Not Applicable,8.3,7.5,[],Hiring
POST_29,ORG_2,06/02/2024,Company Blog,https://example.com/images/medicare/blog_finance.jpg,"Our Q1 financial review is in. While our banking services have been generally reliable, there's room for improvement in communication. We rate them a 6.8/10.","['Finance', 'Company News']",Neutral,6.8,4.5,[],Financial
POST_30,ORG_2,20/02/2024,Instagram,https://example.com/images/medicare/wellness2024.jpg,"This February, focus on you! Ask us questions about how we can improve your well-being. #Wellness #Health","['Healthcare Services', 'Patient Care']",Not Applicable,7.8,7.3,[],Promotion
POST_31,ORG_3,15/08/2023,LinkedIn,https://example.com/images/gmc/anniversary.jpg,Celebrating 60 years of manufacturing excellence! Global Manufacturing Corp is proud of our legacy and excited for the future of innovation. #manufacturing #anniversary #60years,"['Company News', 'Manufacturing', 'Anniversary']",Not Applicable,6.2,8.5,[],Announcement
POST_32,ORG_3,22/08/2023,Twitter,https://example.com/images/gmc/industry_report.jpg,New report shows growth in US manufacturing! Global Manufacturing Corp is committed to contributing to this positive trend. #manufacturing #industrynews #economy,"['Industry News', 'Manufacturing', 'Economy']",Not Applicable,9.3,6.8,[],Industry News
POST_33,ORG_3,01/09/2023,Facebook,https://example.com/images/gmc/community_event.jpg,Global Manufacturing Corp is proud to sponsor the Texas Manufacturing Expo!  Supporting our local community and industry. #community #texas #manufacturingexpo,"['Community', 'Manufacturing', 'Local Business']",Not Applicable,5.5,7.2,['Texas Manufacturing Expo'],Community
POST_34,ORG_3,12/09/2023,LinkedIn,https://example.com/images/gmc/new_product.jpg,Introducing our latest line of high-efficiency manufacturing components!  Designed for performance and sustainability. Learn more: [link to product page] #innovation #manufacturing #newproduct,"['Product', 'Manufacturing', 'Innovation']",Not Applicable,6.5,7.9,[],Promotion
POST_35,ORG_3,20/09/2023,Company Blog,https://example.com/images/gmc/blog_finance.jpg,Navigating the current financial landscape requires a strong banking partnership.  We appreciate our bank's consistent support in managing our working capital. #finance #banking #business,"['Finance', 'Banking', 'Business Strategy']",Positive,7.6,6.5,[],Financial
POST_36,ORG_3,05/10/2023,Twitter,https://example.com/images/gmc/sustainability.jpg,Global Manufacturing Corp is committed to sustainable practices.  Reducing our environmental impact is a top priority. #sustainability #manufacturing #gogreen,"['Sustainability', 'Manufacturing', 'Environment']",Not Applicable,7.9,7.1,[],Announcement
POST_37,ORG_3,19/10/2023,Instagram,https://example.com/images/gmc/team_photo.jpg,Behind every successful product is a dedicated team. Meet the people who make Global Manufacturing Corp great! #teamwork #manufacturing #employeeappreciation,"['Company Culture', 'Team', 'Manufacturing']",Not Applicable,6.0,8.2,[],Community
POST_38,ORG_3,02/11/2023,LinkedIn,https://example.com/images/gmc/partnership.jpg,Excited to announce our partnership with Tech Solutions Inc. to enhance our automation capabilities! #partnership #technology #automation,"['Partnership', 'Technology', 'Manufacturing']",Not Applicable,7.0,8.0,['Tech Solutions Inc.'],Announcement
POST_39,ORG_3,16/11/2023,Twitter,https://example.com/images/gmc/industry_trend.jpg,The rise of AI in manufacturing is transforming the industry. Global Manufacturing Corp is embracing these advancements. #AI #manufacturing #technology,"['Industry News', 'Technology', 'Manufacturing']",Not Applicable,8.1,7.4,[],Industry News
POST_40,ORG_3,30/11/2023,Facebook,https://example.com/images/gmc/holiday_giving.jpg,Giving back to the community this holiday season! Global Manufacturing Corp is donating to local charities. #givingback #community #holidays,"['Community', 'Charity', 'Holidays']",Not Applicable,7.0,7.8,[],Community
POST_41,ORG_3,08/12/2023,LinkedIn,https://example.com/images/gmc/webinar.jpg,Join our webinar on 'Optimizing Manufacturing Processes with Data Analytics'. Register now: [link to webinar] #webinar #dataanalytics #manufacturing,"['Webinar', 'Data Analytics', 'Manufacturing']",Not Applicable,6.8,6.9,[],Promotion
POST_42,ORG_3,18/12/2023,Company Blog,https://example.com/images/gmc/year_review.jpg,"Global Manufacturing Corp's 2023 Year in Review: A year of growth, innovation, and strong financial partnerships. [link to full summary] #yearend #financial #growth","['Company News', 'Finance', 'Annual Report']",Positive,7.5,6.1,[],Financial
POST_43,ORG_3,05/01/2024,LinkedIn,https://example.com/images/gmc/hiring.jpg,We're hiring!  Join the Global Manufacturing Corp team.  Check out our open positions: [link to careers page] #hiring #jobs #manufacturing,"['Hiring', 'Careers', 'Manufacturing']",Not Applicable,6.8,7.6,[],Hiring
POST_44,ORG_3,15/01/2024,Twitter,https://example.com/images/gmc/ceo_quote.jpg,"""Our commitment to quality and innovation drives our success."" - CEO, Global Manufacturing Corp #leadership #manufacturing #innovation","['Leadership', 'Manufacturing', 'Company Culture']",Not Applicable,6.0,6.3,[],Announcement
POST_45,ORG_3,25/01/2024,Facebook,https://example.com/images/gmc/texas_economy.png,"The Texas economy is booming, and manufacturing is at the core of it! #Texas #economy #manufacturing","['Texas Economy', 'Manufacturing']",Not Applicable,6.2,6.0,[],Industry News
POST_46,ORG_4,15/08/2023,Facebook,https://example.com/images/cornerstone/backtoschool.jpg,"Back to School 📚 season is here ! Get all your essentials at Cornerstone Retailers. Big savings and great quality, all in one place. Shop local and support NYC businesses! #BackToSchool #NYCRetail #ShopLocal","['Product Promotion', 'Local Business', 'Seasonal']",Not Applicable,7.1,7.5,[],Promotion
POST_47,ORG_4,22/08/2023,Instagram,https://example.com/images/cornerstone/team_lunch.jpg,Celebrating 5 years of serving our amazing New York community! 🎉 Thank you to our incredible team and loyal customers. Here's to many more years of growth! #CornerstoneRetailers #Anniversary #NYCBiz,"['Company Anniversary', 'Local Business', 'Team Appreciation']",Not Applicable,7.1,8.2,[],Announcement
POST_48,ORG_4,05/09/2023,Twitter,https://example.com/images/cornerstone/fall_collection.jpg,🍂 New Fall Collection is IN! 🍂 Get cozy with our latest arrivals. #FallFashion #NYCRetail #CornerstoneRetailers,"['Product Promotion', 'Fashion', 'Seasonal']",Not Applicable,7.1,6.8,[],Promotion
POST_49,ORG_4,12/09/2023,LinkedIn,https://example.com/images/cornerstone/growth_chart.jpg,Cornerstone Retailers is proud to celebrate another year of consistent growth. We're committed to providing quality products and service to the NYC community. #RetailGrowth #NYCBusiness #SmallBusiness,"['Company News', 'Business Growth', 'Local Business']",Not Applicable,7.1,5.5,[],Announcement
POST_50,ORG_4,20/09/2023,Facebook,https://example.com/images/cornerstone/community_event.jpg,"We're proud to sponsor the local NYC Fall Festival this weekend! Join us for fun, food, and community spirit. Learn more on our website! #CommunitySupport #NYCEvents #CornerstoneRetailers","['Community Engagement', 'Local Events', 'Sponsorship']",Not Applicable,7.1,7.9,['Local Chamber of Commerce'],Community
POST_51,ORG_4,03/10/2023,Instagram,https://example.com/images/cornerstone/new_product.jpg,✨ Introducing our newest product line! ✨ Exclusive to Cornerstone Retailers in NYC. Check it out in-store or online! #NewArrivals #Exclusive #ShopLocal,"['Product Promotion', 'Exclusive Release']",Not Applicable,7.1,7.2,[],Promotion
POST_52,ORG_4,11/10/2023,Company Blog,https://example.com/images/cornerstone/blog_finance.jpg,"Navigating small business finances can be tricky. We're sharing our top tips for managing cash flow and maintaining growth. Our relationship with our bank has been generally positive, providing the support we need to expand. #SmallBizTips #Finance","['Finance', 'Business Tips', 'Banking']",Positive,7.1,6.3,[],Financial
POST_53,ORG_4,28/10/2023,Twitter,https://example.com/images/cornerstone/halloween.jpg,Spooky savings this Halloween! 🎃 Get up to 30% off on select items. #HalloweenSale #NYCRetail #CornerstoneRetailers,"['Product Promotion', 'Seasonal', 'Sales']",Not Applicable,7.1,7.0,[],Promotion
POST_54,ORG_4,07/11/2023,LinkedIn,https://example.com/images/cornerstone/blog_post_2.png,Read our new blog post on small retail business trends and how to stay ahead of the game in NYC. #IndustryNews #RetailTrends,"['Industry News', 'Retail Trends']",Not Applicable,7.1,7.9,[],Industry News
POST_55,ORG_4,15/11/2023,Facebook,https://example.com/images/cornerstone/thanksgiving.jpg,Giving thanks to our amazing customers and community. Wishing you a Happy Thanksgiving! 🦃 #Thanksgiving #Gratitude #NYCRetail,"['Holiday', 'Community']",Not Applicable,7.1,8.5,[],Community
POST_56,ORG_4,18/11/2023,Instagram,https://example.com/images/cornerstone/store.jpg,Our doors are open every day! Come meet our team and get recommendations tailored for your needs. #ShopLocal #NYC,"['Shopping Experience', 'Local Business']",Not Applicable,7.1,7.8,[],Community
POST_57,ORG_4,24/11/2023,Twitter,https://example.com/images/cornerstone/blackfriday.jpg,Black Friday deals are HERE! 💥 Huge discounts in-store and online. Don't miss out! #BlackFriday #NYCRetail #CornerstoneRetailers,"['Product Promotion', 'Sales', 'Seasonal']",Not Applicable,7.1,7.6,[],Promotion
POST_58,ORG_4,01/12/2023,Facebook,https://example.com/images/cornerstone/partnership.jpg,Excited to announce a new partnership with *NYC Design Co.*. More collaborations for unique products! #LocalPartnership #NYCBiz,['Partnerships'],Not Applicable,7.1,6.9,['NYC Design Co.'],Announcement
POST_59,ORG_4,10/12/2023,Instagram,https://example.com/images/cornerstone/holiday_decor.jpg,✨ Get your holiday decor and prepare for gift-giving season with us ! ✨ #HolidayShopping #NYCRetail #Cornerstone,['Seasonal Shopping'],Not Applicable,7.1,8.1,[],Promotion
POST_60,ORG_4,14/12/2023,LinkedIn,https://example.com/images/cornerstone/hiring.jpg,We're hiring! Join the Cornerstone Retailers team and grow with us. Check out our open positions on our website. #Hiring #NYCJobs #RetailCareers,"['Hiring', 'Job Opportunities']",Not Applicable,7.1,6.0,[],Hiring
POST_61,ORG_5,15/08/2023,LinkedIn,https://example.com/images/financialfuturesgroup/team_meeting.jpg,Financial Futures Group celebrates 18 years of empowering clients to achieve their financial goals! We're proud of our journey and excited for the future. #FinancialPlanning #Anniversary #IllinoisBusiness,"['Company News', 'Financial Planning', 'Anniversary']",Not Applicable,7.8,7.8,[],Announcement
POST_62,ORG_5,29/08/2023,Twitter,https://example.com/images/financialfuturesgroup/market_trends.jpg,Navigating the current market volatility?  Our latest blog post offers insights and strategies. #MarketTrends #Investment #FinancialAdvice,"['Industry News', 'Investment', 'Market Trends']",Not Applicable,5.7,6.5,[],Industry News
POST_63,ORG_5,12/09/2023,Facebook,https://example.com/images/financialfuturesgroup/client_testimonial.jpg,"We're honored to receive such positive feedback from our clients!  ""Financial Futures Group helped me secure my retirement.  I couldn't be happier!"" #ClientTestimonial #FinancialPlanning #Retirement","['Client Testimonials', 'Financial Planning', 'Retirement']",Not Applicable,4.2,7.2,[],Community
POST_64,ORG_5,26/09/2023,LinkedIn,https://example.com/images/financialfuturesgroup/webinar.jpg,Join our upcoming webinar on 'Tax-Efficient Investing Strategies'. Register now! [Link to Registration] #TaxPlanning #Investing #Webinar,"['Financial Planning', 'Tax Planning', 'Investing']",Not Applicable,4.7,6.9,[],Promotion
POST_65,ORG_5,10/10/2023,Twitter,https://example.com/images/financialfuturesgroup/inflation.jpg,"Inflation concerns? While access to capital remains crucial, rising interest rates and complex banking processes create hurdles. #Inflation #InterestRates #Banking","['Industry News', 'Inflation', 'Interest Rates']",Negative,5.8,6.1,[],Financial
POST_66,ORG_5,24/10/2023,Instagram,https://example.com/images/financialfuturesgroup/team_event.jpg,Team building at its finest!  Our team enjoyed a day of collaboration and fun. #TeamBuilding #CompanyCulture #FinancialFuturesGroup,"['Company Culture', 'Team Building']",Not Applicable,6.9,7.5,[],Community
POST_67,ORG_5,07/11/2023,Facebook,https://example.com/images/financialfuturesgroup/community_outreach.jpg,Giving back to the community! We're proud to support [Local Charity Name] in their mission to [Charity Mission]. #CommunitySupport #GivingBack #Illinois,"['Community Support', 'Social Responsibility']",Not Applicable,4.0,8.1,['Local Charity Name'],Community
POST_68,ORG_5,21/11/2023,LinkedIn,https://example.com/images/financialfuturesgroup/new_hire.jpg,"Welcome our newest team member, [New Hire Name], Senior Financial Advisor!  We're excited to have you on board. #NewHire #FinancialAdvisor #TeamGrowth","['Company News', 'Hiring', 'Team Growth']",Not Applicable,6.5,7.3,[],Hiring
POST_69,ORG_5,05/12/2023,Company Blog,https://example.com/images/financialfuturesgroup/year_end_planning.jpg,"Year-End Financial Planning Checklist: Make the most of your finances before the year ends. Check out helpful tips for maximizing your savings, especially in our current situation! Read more: [Link to Blog Post]","['Financial Planning', 'Year-End Planning', 'Savings']",Neutral,6.2,6.8,[],Financial
POST_70,ORG_5,19/12/2023,Twitter,https://example.com/images/financialfuturesgroup/holiday_wishes.jpg,Wishing you and your loved ones a joyful holiday season and a prosperous New Year! #HappyHolidays #SeasonGreetings #FinancialFuturesGroup,['Holiday Wishes'],Not Applicable,5.6,7.0,[],Community
POST_71,ORG_5,02/01/2024,LinkedIn,https://example.com/images/financialfuturesgroup/newyear.jpg,"Happy to provide custom-tailored wealth management, investment, and retirement plans. Let's move toward a better relationship for our company and our provider!  #HappyNewYear2024","['Financial', 'Wealth Management', 'Investment', 'Retirement Plans']",Neutral,6.4,7.9,[],Financial
POST_72,ORG_5,16/01/2024,Facebook,https://example.com/images/financialfuturesgroup/partnership.jpg,Excited to announce our partnership with [Partner Company Name] to offer enhanced financial solutions to our clients! #Partnership #FinancialSolutions #Collaboration,"['Partnership', 'Financial Solutions']",Not Applicable,6.9,8.3,['Partner Company Name'],Announcement
POST_73,ORG_5,30/01/2024,Instagram,https://example.com/images/financialfuturesgroup/financial_literacy.jpg,"Promoting financial literacy is key to a secure future. Learn the basics of budgeting, saving, and investing. Streamlining services would vastly improve customer experience.#FinancialLiteracy #Education #Empowerment","['Financial Literacy', 'Education']",Negative,5.9,6.7,[],Financial
POST_74,ORG_5,13/02/2024,Twitter,https://example.com/images/financialfuturesgroup/market_update.jpg,Quick market update: Key indicators to watch this week. Stay informed! #MarketUpdate #Finance #Investing,"['Industry News', 'Market Update', 'Investing']",Not Applicable,5.2,6.3,[],Industry News
POST_75,ORG_5,27/02/2024,LinkedIn,https://example.com/images/financialfuturesgroup/retirement_planning.jpg,Planning for retirement? It's never too early to start. We offer personalized retirement planning services. #RetirementPlanning #FinancialSecurity,"['Retirement Planning', 'Financial Planning']",Not Applicable,7.1,7.1,[],Promotion
